epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,30.2848,1.71543,0.59118,1,1.03174,0.000249405,0.000249405,0.000249405
2,52.1362,0.33187,0.97647,1,0.13022,0.000455671,0.000455671,0.000455671
3,71.1949,0.06331,0.94706,1,0.12769,0.000611182,0.000611182,0.000611182
4,90.928,0.0676,0.98235,1,0.11901,0.000540607,0.000540607,0.000540607
5,109.78,0.06631,0.94118,1,0.15782,0.000464476,0.000464476,0.000464476
6,130.023,0.03105,0.98529,1,0.07515,0.000388345,0.000388345,0.000388345
7,149.093,0.00954,1,1,0.00126,0.000312214,0.000312214,0.000312214
8,169.887,0.00474,1,1,0.00502,0.000236083,0.000236083,0.000236083
9,189.265,0.00362,1,1,0.00043,0.000159952,0.000159952,0.000159952
10,210.3,0.00143,1,1,0.00043,8.3821e-05,8.3821e-05,8.3821e-05
